id,external_id,source,incident_type,summary,location_name,latitude,longitude,occurred_at,url,severity,created_at,updated_at
52be44f2-850c-48be-a5bb-072b15594a34,605055,polisen,Inbrott,Inbrott i två bilar i Karlskrona.,Karlskrona,56.161224,15.5869,2025-10-12 10:45:51.759128,/aktuellt/handelser/2025/oktober/3/03-oktober-00.56-inbrott-karlskrona/,3,2025-10-12 10:45:51.759156,2025-10-12 10:45:51.763222
3515fe74-51c8-46db-aa38-231ad623604f,604741,polisen,Inbrott,Ett larm i en företagslokal i Lunda indikerade ett inbrott. En person sågs avlägsna sig på en elsparkcykel.,Stockholm,59.329324,18.068581,2025-10-12 10:45:51.765543,/aktuellt/handelser/2025/oktober/1/01-oktober-03.37-inbrott-stockholm/,3,2025-10-12 10:45:51.765574,2025-10-12 10:45:51.767566
491f9605-f06e-4af8-845b-09ebb851fb15,601461,polisen,Inbrott,Samtal om inbrott.,Västerås,59.609901,16.544809,2025-10-12 10:45:51.773753,/aktuellt/handelser/2025/september/20/20-september-02.09-inbrott-vasteras/,3,2025-10-12 10:45:51.773776,2025-10-12 10:45:51.775416
632c1dee-2eb9-43e3-b502-a125e6148868,600603,polisen,Inbrott,Inbrott i kiosk.,Malmö,55.604981,13.003822,2025-10-12 10:45:51.786776,/aktuellt/handelser/2025/september/12/12-september-02.50-inbrott-malmo/,3,2025-10-12 10:45:51.786805,2025-10-12 10:45:51.788307
71859cb3-7a7b-4e5d-af87-6b53135a9fb1,600480,polisen,Inbrott,Inbrott i företag.,Växjö,56.879004,14.805852,2025-10-12 10:45:51.789949,/aktuellt/handelser/2025/september/11/11-september-02.49-inbrott-vaxjo/,3,2025-10-12 10:45:51.789971,2025-10-12 10:45:51.791509
c661522a-bc13-4d14-9d6e-46cf618a6f7d,608141,polisen,Narkotikabrott,"Bredsand, polisen kontrollerar en kvinna.",Sundsvall,62.390811,17.306927,2025-10-13 13:02:32,/aktuellt/handelser/2025/oktober/13/13-oktober-10.48-narkotikabrott-sundsvall/,1,2025-10-13 11:05:01.742871,2025-10-13 11:15:03.350285
4bb8de9f-53cb-438c-8da8-69f6106b272f,608140,polisen,Övrigt,Ändrade öppettider på mediacentret i Bergslagen under måndagen,Örebro län,59.535036,15.006573,2025-10-13 13:01:49,/aktuellt/handelser/2025/oktober/13/13-oktober-13.01-ovrigt-orebro-lan/,1,2025-10-13 11:05:01.759812,2025-10-13 11:15:03.359595
3c1c4853-8d61-4999-919a-90425a569268,608139,polisen,Övrigt,Ändrade öppettider på mediacentret i Bergslagen under måndagen,Dalarnas län,61.091701,14.666365,2025-10-13 13:01:38,/aktuellt/handelser/2025/oktober/13/13-oktober-13.01-ovrigt-dalarnas-lan/,1,2025-10-13 11:05:01.768441,2025-10-13 11:15:03.369167
1688f548-8d97-40c6-8013-40ad9e9f3b39,608138,polisen,Övrigt,Ändrade öppettider på mediacentret i Bergslagen under måndagen,Värmlands län,59.729407,13.235402,2025-10-13 13:01:28,/aktuellt/handelser/2025/oktober/13/13-oktober-13.00-ovrigt-varmlands-lan/,1,2025-10-13 11:05:01.77343,2025-10-13 11:15:03.379342
3b5b95ac-85fd-4505-b5ec-92d31a5a4321,608136,polisen,Misshandel,En kvinna i fyrtioårsåldern misstänks för misshandel.,Falun,60.60646,15.6355,2025-10-13 12:48:48,/aktuellt/handelser/2025/oktober/13/13-oktober-10.16-misshandel-falun/,4,2025-10-13 10:49:58.263873,2025-10-13 11:15:03.384732
fba8f719-e926-45e4-b478-98922d419327,608135,polisen,"Trafikolycka, personskada",Två personbilar i kollision i Fyrislund.,Uppsala,59.858564,17.638927,2025-10-13 12:46:31,/aktuellt/handelser/2025/oktober/13/13-oktober-08.24-trafikolycka-personskada-uppsala/,3,2025-10-13 10:49:58.286692,2025-10-13 11:15:03.390975
f9332247-9d77-47b6-b784-8574f3d15ca6,608134,polisen,Rattfylleri,En man i sextioårsåldern misstänks för rattfylleri.,Orsa,61.116937,14.628071,2025-10-13 12:44:20,/aktuellt/handelser/2025/oktober/13/13-oktober-07.00-rattfylleri-orsa/,1,2025-10-13 10:44:55.739371,2025-10-13 11:15:03.399773
1619568e-7fff-4c24-899d-8560e3c2d8e3,608133,polisen,Trafikbrott,En kvinna har förts till sjukhus efter att ha blivit påkörd av en bil under morgonen.,Örebro,59.275263,15.213411,2025-10-13 12:41:03,/aktuellt/handelser/2025/oktober/13/13-oktober-06.51-trafikbrott-orebro/,1,2025-10-13 10:44:55.749842,2025-10-13 11:15:03.407638
7ae88a3a-20c7-4534-820a-1f60feed3f16,608132,polisen,Trafikolycka,Polis och räddningstjänst larmas om att en man ska ha klämts under en traktor.,Dorotea,64.261794,16.415234,2025-10-13 12:35:38,/aktuellt/handelser/2025/oktober/13/13-oktober-09.50-trafikolycka-dorotea/,3,2025-10-13 10:44:55.753972,2025-10-13 11:15:03.412765
b3e1b357-07d3-4244-b5bf-7feb2b6eac67,608127,polisen,Mord/dråp,Under torsdagsdygnet förra veckan anmäldes en kvinna i tjugofemårsåldern försvunnen i Karlstad.,Karlstad,59.402181,13.511498,2025-10-13 12:06:20,/aktuellt/handelser/2025/oktober/13/13-oktober-12.06-morddrap-karlstad/,5,2025-10-13 10:14:50.030275,2025-10-13 11:15:03.424513
261ec79d-698a-4e9d-aa9f-ef7dae6a1d5e,607042,polisen,Bråk,Anmälan och motanmälan om misshandel.,Västerås,59.609901,16.544809,2025-10-12 06:53:32.819803,/aktuellt/handelser/2025/oktober/11/11-oktober-20.50-brak-vasteras/,1,2025-10-12 06:53:32.819825,2025-10-13 11:15:03.836508
1ba05113-1218-4579-b3de-0dbee8dbac14,607041,polisen,Sammanfattning natt,"Jämtland, ett urval av nattens polisverksamhet",Jämtlands län,63.171192,14.95918,2025-10-12 06:53:32.822377,/aktuellt/handelser/2025/oktober/12/12-oktober-08.27-sammanfattning-natt-jamtlands-lan/,1,2025-10-12 06:53:32.822395,2025-10-13 11:15:03.845965
98fa46ae-c22c-4d93-9618-e11533be70ed,599633,polisen,Inbrott,"Inbrott i villa i Tyringe, Hässleholm",Hässleholm,56.158915,13.766765,2025-10-12 10:45:51.804414,/aktuellt/handelser/2025/september/2/02-september-23.48-inbrott-hassleholm/,3,2025-10-12 10:45:51.80444,2025-10-12 10:45:51.806156
f82ccc46-934d-4a08-9168-eab4e88db1d9,599630,polisen,Inbrott,Inbrott i företagsbil.,Emmaboda,56.630686,15.540006,2025-10-12 10:45:51.807777,/aktuellt/handelser/2025/september/3/03-september-05.33-inbrott-emmaboda/,3,2025-10-12 10:45:51.8078,2025-10-12 10:45:51.809038
d4e8ac7d-b6ba-4503-9315-513b74888514,599340,polisen,Inbrott,Inbrott i företag i Helsingborg.,Helsingborg,56.046467,12.694512,2025-10-12 10:45:51.810642,/aktuellt/handelser/2025/augusti/31/31-augusti-23.03-inbrott-helsingborg/,3,2025-10-12 10:45:51.810665,2025-10-12 10:45:51.812746
5c669dd8-ddb0-49b2-8cda-97851c587991,598625,polisen,Inbrott,Inbrott i frisörsalong,Svalöv,55.91293,13.101817,2025-10-12 10:45:51.823123,/aktuellt/handelser/2025/augusti/25/25-augusti-00.50-inbrott-svalov/,3,2025-10-12 10:45:51.823144,2025-10-12 10:45:51.825087
185a8893-6e08-4e1b-8893-69b75229252a,596432,polisen,Inbrott,"Inbrott, Kyrkheddinge",Staffanstorp,55.641065,13.212229,2025-10-12 10:45:51.831577,/aktuellt/handelser/2025/augusti/11/11-augusti-23.42-inbrott-staffanstorp/,3,2025-10-12 10:45:51.831614,2025-10-12 10:45:51.833009
8420edf0-bd5a-4438-9f4c-e24dfbf6a4de,596303,polisen,Inbrott,Ett inbrottslarm går i en byggnad på Väla.,Helsingborg,56.046467,12.694512,2025-10-12 10:45:51.834654,/aktuellt/handelser/2025/augusti/10/10-augusti-09.06-inbrott-helsingborg/,3,2025-10-12 10:45:51.834683,2025-10-12 10:45:51.836345
91252029-0708-47d9-9acc-69c2b0bb0607,608119,polisen,Trafikkontroll,Ett urval av polisens arbete i trafiken under morgonen/förmiddagen.,Västernorrlands län,63.427647,17.729244,2025-10-13 11:26:04,/aktuellt/handelser/2025/oktober/13/13-oktober-11.25-trafikkontroll-vasternorrlands-lan/,1,2025-10-13 09:29:41.215003,2025-10-13 11:15:03.428878
ed8fedfe-8a03-4b83-821f-6d65eb5cd9c6,608105,polisen,"Trafikolycka, personskada","Lastbil körde av vägen i Dalby, en person till sjukhus.",Uppsala,59.858564,17.638927,2025-10-13 10:06:12,/aktuellt/handelser/2025/oktober/13/13-oktober-08.25-trafikolycka-personskada-uppsala/,3,2025-10-13 08:14:25.998298,2025-10-13 11:15:03.433648
b37ea16b-1f5e-41e9-bbf7-47bd311305bc,608089,polisen,Sammanfattning natt,Här kommer ett urval av nattens händelser i polisområdet.,Södermanlands län,59.033635,16.75189,2025-10-13 05:59:08.534461,/aktuellt/handelser/2025/oktober/13/13-oktober-07.56-sammanfattning-natt-sodermanlands-lan/,1,2025-10-13 05:59:08.534498,2025-10-13 11:15:03.448958
